Question,main,sub1,sub2,Description,Description_short,TBD,dim1,dim2,dim3
Q10_10,Q10,10,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Pre-orientation program,NA,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Pre-orientation program,NA
Q10_15,Q10,15,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Student/alumni networking events,NA,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Student/alumni networking events,NA
Q10_35,Q10,35,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Alumni networking platform and/or alumni directory (maintained by career services),NA,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Alumni networking platform and/or alumni directory (maintained by career services),NA
Q10_29,Q10,29,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Other:,NA,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Other:,NA
Q10_29_TEXT,Q10,29,TEXT,Please indicate all the types of programs that your office offers to undergraduate students - Other: - Text,NA,Please indicate all the types of programs that your office offers to undergraduate students,Other:,Text,NA
Q11,Q11,NA,NA,Do you provide services to graduate students?,NA,Do you provide services to graduate students?,NA,NA,NA
Q12_1,Q12,1,NA,Please identify those services offered to graduate students. - Selected Choice - Career counseling/advising,NA,Please identify those services offered to graduate students.,Selected Choice,Career counseling/advising,NA
Q12_2,Q12,2,NA,"Please identify those services offered to graduate students. - Selected Choice - Job development, employer relations & recruiting",NA,Please identify those services offered to graduate students.,Selected Choice,"Job development, employer relations & recruiting",NA
Q12_3,Q12,3,NA,Please identify those services offered to graduate students. - Selected Choice - Fellowship advising,NA,Please identify those services offered to graduate students.,Selected Choice,Fellowship advising,NA
Q12_4,Q12,4,NA,Please identify those services offered to graduate students. - Selected Choice - Other,NA,Please identify those services offered to graduate students.,Selected Choice,Other,NA
Q12_4_TEXT,Q12,4,TEXT,Please identify those services offered to graduate students. - Other - Text,NA,Please identify those services offered to graduate students.,Other,Text,NA
Q13,Q13,NA,NA,Do you provide services to alumni?,NA,Do you provide services to alumni?,NA,NA,NA
Q14,Q14,NA,NA,"If so, please identify the scope of services offered to alumni.",NA,"If so, please identify the scope of services offered to alumni.",NA,NA,NA
Q15,Q15,NA,NA,Do you charge a fee for service to alumni? - Selected Choice,NA,Do you charge a fee for service to alumni?,Selected Choice,NA,NA
Q15_2_TEXT,Q15,2,TEXT,Do you charge a fee for service to alumni? - Yes. Please describe: - Text,NA,Do you charge a fee for service to alumni?,Yes. Please describe:,Text,NA
Q16_1_1,Q16,1,1,"Reporting from your 2021-22 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Number of career fairs offered on-campus or only for students at your insti... - Number of career fairs offered on-campus or only for students at your institution (not including grad/prof school fairs) - # On-campus",NA,"Reporting from your 2021-22 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Number of career fairs offered on-campus or only for students at your insti...,# On-campus,NA
Q16_1_2,Q16,1,2,"Reporting from your 2021-22 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Number of career fairs offered on-campus or only for students at your insti... - Number of career fairs offered on-campus or only for students at your institution (not including grad/prof school fairs) - # Virtual",NA,"Reporting from your 2021-22 academic year data, how many of the following Employer Relations Activities did your career center host?

  


	Please include only those activities that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Number of career fairs offered on-campus or only for students at your insti...,# Virtual,NA
