Question,main,sub1,sub2,Description,TBD,dim1,dim2,dim3
Q10_33,Q10,33,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Large scale program/event specifically for JUNIORS (at least 10% of the class participates),Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Large scale program/event specifically for JUNIORS (at least 10% of the class participates),NA
Q10_34,Q10,34,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Large scale program/event specifically for SENIORS (at least 10% of the class participates),Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Large scale program/event specifically for SENIORS (at least 10% of the class participates),NA
Q10_31,Q10,31,NA,"Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Identity based programming (BIPOC, first generation, LGBTQIA+, etc.)",Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,"Identity based programming (BIPOC, first generation, LGBTQIA+, etc.)",NA
Q10_13,Q10,13,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Industry/sector/career community specific events,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Industry/sector/career community specific events,NA
Q10_14,Q10,14,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Job shadow program,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Job shadow program,NA
Q10_8,Q10,8,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Large-scale practice interview program,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Large-scale practice interview program,NA
Q10_28,Q10,28,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Mentoring program,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Mentoring program,NA
Q10_9,Q10,9,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Parent/family weekend programs,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Parent/family weekend programs,NA
Q10_10,Q10,10,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Pre-orientation program,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Pre-orientation program,NA
Q10_15,Q10,15,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Student/alumni networking events,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Student/alumni networking events,NA
Q10_35,Q10,35,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Alumni networking platform and/or alumni directory (maintained by career services),Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Alumni networking platform and/or alumni directory (maintained by career services),NA
Q10_29,Q10,29,NA,Please indicate all the types of programs that your office offers to undergraduate students - Selected Choice - Other:,Please indicate all the types of programs that your office offers to undergraduate students,Selected Choice,Other:,NA
Q10_29_TEXT,Q10,29,TEXT,Please indicate all the types of programs that your office offers to undergraduate students - Other: - Text,Please indicate all the types of programs that your office offers to undergraduate students,Other:,Text,NA
Q11,Q11,NA,NA,"Does your institution currently offer a micro-credentials program? (Micro-credential: high-impact courses, typically outside of the academic curriculum, that teach students a specific professional skill or industry-specific knowledge)","Does your institution currently offer a micro-credentials program? (Micro-credential: high-impact courses, typically outside of the academic curriculum, that teach students a specific professional skill or industry-specific knowledge)",NA,NA,NA
Q12,Q12,NA,NA,"Please describe your micro-credential program. How do students become eligible, what courses are available, what is the fee structure for students?","Please describe your micro-credential program. How do students become eligible, what courses are available, what is the fee structure for students?",NA,NA,NA
Q13_1,Q13,1,NA,What amount of funding is allocated to support your micro-credential initiative? - Total funds available to support micro-credentials.,What amount of funding is allocated to support your micro-credential initiative?,Total funds available to support micro-credentials.,NA,NA
